N.Registro,Nombre,GPS.Longitud,GPS.Latitud,Fecha.Inicio (convenio),Fecha.Termino (convenio),Pais,Estado,Municipio,Dirección,Colonia,C.Postal,Rep.Legal,Telefono,Email,,,,,,,
102,International Baskets,-103.845799,20.375703,15 de noviembre 2018,15 de noviembre 2021,México,Jalisco,Cocula Jalisco,"Calle Transformacion #22 Corredor Industrial ruta 80, C.P 48500 cocula Jalisco",Corredor Industrial,48500,Rodrigo Gonzalez Urrea,3777730130,rgonzalez@ibsamx.net,,,,,,,
103,CIECSEM (Centro de Intervenciones de Enfermeria y Capacitaion en Salud del Estado de México),-99.662686,19.287983,07 de noviembre 2018,07 de noviembre 2021,Mexico,Estado de México,Toluca Mexico,"Av. José María Morelos y Pavón 1405 C, Col. san Bernardino, C.P. 50080 Toluca Mexico",San Bernardino,50080,Diego Ricardo Farrera Piña,7222647408,ciecsem@gmail.com,,,,,,,
104,Despacho Contable Fiscal,-103.978333,20.907859,12 de noviembre 2018,12 de noviembre 2021,Mexico,Jalisco,Magdalena Jaliso,Calle Javier Mina #126 B C.P. 46470 Magdalena Jalisco,Centro,46470,Miguel Ángel Andrade Real,33116336289,conta.magdalena@hotmail.com,,,,,,,
105,COSEA,-103.402547,20.678941,28 de mayo 2018,28 de mayo 2021,Mexico,Jalisco,Guadalajara Jalisco,"Av. Mexico no. 3370, C.P. 44690 Guadalajara Jalisco",Av. México,44670,Francisco Montalvo Villalpando,31335346,francisco.montalvo@cosea.mx,,,,,,,
106,Notaria Publica 31 ,-103.370655,20.670336,19 de diciembre 2018,19 de diciembre 2021,Mexico,Jalisco,Guadalajara Jalisco,"José Guadalupe Zuno #2103 Colonia Americana, C.P. 44160 Guadalajara Jalisco",Americana,44160,Luis Gerardo Sandoval Fernández,36301920,notaria.31.guadalajara@outlook.es,,,,,,,
107,Udima (Universidad a Distancia de Madrid),-3.999046,40.631407,05 de julio 2018,05 de julio 2021,Mexico,Jalisco,"Collado Villalba, España","Vía de Servicio A-6, 15, 28400 Collado Villalba, Madrid, España",Collado Villalba,28400,Ma Concepcion Burgos Garcia,902 02 00 03.,informa@udima.es,,,,,,,
108,Casa Herradura COSESA B-F S. DE R.L DE C.V,-103.725523,20.840213,28 de mayo 2018,28 de mayo 2021,Mexico,Jalisco,Amatitan Jalisco,Camino a la Barranca del Tecuane # 10 Amatitan Jalisco,,45380,Homero Dominguez López,3747451199 ext. 2108,cristianlara@herradura.com.mx,,,,,,,
109,Middle East Technical University,32.808811,39.911036,23 de agosto 2018,23 de agosto 2021,Turquía,"Çankaya/Ankara,",,"Üniversiteler, Dumlupınar Blv. No:1, 06800 Çankaya/Ankara, Turquía",,6800,Mustafa Versan Kök,,rektor@metu.edu.tr,,,,,,,
110,Kenworht,-103.468119,20.708666,18 de diciembre 2018,28 de diciembre 2021,México,Jalisco,Zapopan Jalisco,"Av. Vallarta #9997 Col. Rancho Contento, C.P. 45010 Zapopan Jalisco",Riconada del Bosque,,Fidel Valdivia González,3330013300 EXT.4521,fmontoya@kenworthjalisco.com,,,,,,,
111,Fundacion Universitaria Sanitas,-74.105457,46.45722,09 de enero 2018,09 de enero 2021,Colombia,,Bogotá Colombia,calle 22B No66-46 bogota,,,Mario Arturo Isaza Ruget,(571) 589 5377,unisanitas@unisanitas.edu.co,,,,,,,
112,Agrivet,-104.042114,20.53769,21 de agosto 2018,21 de agosto 2021,Mexico,Jalisco,Ameca Jalisco,"General Ramon Corona 1, Colonia Centro Ameca Jalisco C.P 46600",Centro,46600,Carmen Alicia herrera Montes de Oca,( 375) 758 2299,,,,,,,,
113,FEJAL,-103.382927,20.696829,18 de febrero 2018,18 de febrero,México,Jalisco,Guadalajara Jalisco,"Ruben Darío 13134, Col. Providencia, C.P 44630 Guadalajara Jalisco",Providencia,446430,José Luis Gonzalez Iñigo,33 3817 0020,informes@fejal.org,,,,,,,
114,FIRA,-104.047153,20.546255,,2020,México,Jalisco,Ameca Jalisco,Juarez #58 A segundo piso Col centro,Centro ,46600,Mario Alberto Raya Cervantes,772104175,maraya@fira.gob.mx,,,,,,,
115,Notaria Publica 57 (Corporativo Global 57 S.C),-103.373422,20.670886,14 de julio 2019,14 de julio 2022,México,Jalisco,Guadalajara Jalisco,"Avenida Guadalupe Zuno 2103, Colonia Americana ",Americana,44140,Victor Flores Márquez ,36 30 10 20,corporativog57@hotmail.com,,,,,,,
117,"Empresa ""Dorantes Aranda y Asociados""",-103.409847,20.710404,02 de julio 2019,02 de julio 2022,México,Jalisco,"Guadalajara, Jalisco",Torre Celtis Real Acueducto # 240 int. 8 Puerta de Hierro,Puerta de Hierro,45116,Jorge Dorantes Aranda,(33)36400503,jpadilla@dorantesaranda.com,,,,,,,
118,SEERAUBER AUTOMOTIVE (Seerauber Industria S.A de C.V),-103.317974,20.565713,02 de julio 2019,02 de julio 2022,México,Jalisco,"Guadalajara, Jalisco",Circuito de la productividad #120-18 col. Parque Industrial el salto,Parque Industrial,,Ernesto Sánchez Proal,36971774 ext. 301,rh@seerauber.com,,,,,,,
119,"Bufet Juridico ""López Díaz y Adociados""",-99.127639,19.435173,02 de julio 2019,02 de julio 2022,México,Ciudad de México,Ciudad de México,Justo Sierra #89 col. Centro ,Centro,6060,Cristian Israel López Díaz,3310199338,lic_cristiam25@hotmail.com,,,,,,,
120,NEMI ,-99.180927,19.390017,02 de julio 2019,02 de julio 2022,México,Ciudad de México,Ciudad de México,"Av. Viaducto Rio Becerra 281, Colonia Nápoles, Delegacion Benito Juárez, C.P. 03810 Ciudad de Mexico",Nápoles,3810,Felix Gavito Olivar,56692213/ 56692210 ext 130,dsolange@nemi.com.mx,,,,,,,
121,Berries Costa de Veracruz,-103.597883,20.55111,30 de abril 2019,30 de abril 2022,México,Jalisco,San Isidro Mazatepec,Camino a los Volcanes km 2.5 SN San Isidro Mazatepec ,Camino a Volcanes,45340,Jesus Alberto de la Torre Onofre,3318929223,CONTACOSTAJAL@GMAIL.COM,,,,,,,
122,Colegio del Valle (Construyendo Historias de exito),-103.71319,20.645651,29 de marzo 2019,29 de marzo 2022,México,Jalisco,Tala Jalisco,Prolongacion Brizuela no. 45 Col. el Cortijo C.P. 45310,Prolongación Brizuela,45310,Leonardo Rodriguez Carrillo,3325379516,colegiodelvalle.tala@gmail.com,,,,,,,
123,Bioterra Fertilizantes,-103.378212,20.657562,30 de abril 2019,30 de abril 2022,México,Jalisco,"Guadalajara, Jalisco",Zapote #1546 col. Del Fresno C.P. 44900 Guadalajara Jalisco,Del Fresno,44900,Felipe de Jesus Barba Orozco,3314538703,fjbarbao@bioterra.mx,,,,,,,
124,NR abogados,-103.702298,20.652488,22 de enero 2019,22 de enero 2022,México,Jalisco,Tala Jalisco,Hidalgo #82 A C.P 45300 Tala Jalisco,Centro,45300,Miguel Jonathan Naranjo Romero,3331566883,John_naranjolive@live.com.mx,,,,,,,
125,Tornero Ferreteria y Materiales (calidad y servicio),-104.035532,20.53656,17 de enro 2019,17 de enero 2021,México,Jalisco,"Ameca, Jalisco",Avenida Patria #133 Ameca Jal C.P. 46600,San Isidro,46600,Angelica Rosas Balcazar,375 755 3095,materialestornero@gmail.com,,,,,,,
126,ANTRA Global wallet,-103.418934,20.676942,16 de enero 2019,16 de enero 2021,México,Jalisco,"Guadalajara, Jalisco",Las Llanura #333 Colonia Prados Vallarta C.P. 45020 Zapopan,Padros,45020,Miguel Ángel de la Torre Romo,33 6781 1456,contact@antra.io,,,,,,,
127,Mega Ofertas Outlet,-103.367047,20.684812,11 de enero 2019,11 de enero 2021,México,Jalisco,Tlajomulco de Zúñiga,Hortensia #1350 Col. Tulipanes C.P. 45640 Tlajomulco de Zuñiga Jalisco,Tulipanes,45640,Victor Manuel Flores Gómez,3316017595,contacto@megaofertas.mx,,,,,,,
128,MARDRUK FERRETERIA S.A DE S.V,-103.45562,20.71655,22 de enero 2019,22 de enero de 2022,México,Jalisco,"Guadalajara, Jalisco",Avenida Aviación #3800 C.P. 45019 Zapopan Jalisco,Aviación,45019,Victor Manuel Borrego Aguirre,3315039958,victor@mardukferreteria.com.mx,,,,,,,
129,Grupo Vida,-103.546915,20.729407,21 de febrero 2019,21 de febrero 2022,México,Jalisco,"Guadalajara, Jalisco","#300 de la calle Ejido, CP 45221 La Venta de Astilleros Zapopan",La venta de Astilleros,45221,Jorge Manuel Sánchez Lanzilotti,3332080400,Alejandro.kleemann@grupovida.com,,,,,,,
130,Consultores Fiscalistas,-103.395929,20.664635,25 de junio 2019,25 de junio 2022,México,Jalisco,"Guadalajara, Jalisco","Calle San Gabriel #188 Col. Chapalita, Guadalajara Jalisco",Chapalita,,Prisma Janeth Aguilar Cuenca,3316018140,prisma@aeconsultores.com,,,,,,,
131,Secundaria Tecnica 109,-104.025313,20.538847,24 de enero 2019,24 de enero 2022,México,Jalisco,"Ameca, Jalisco",Francisco I Madero 1-A Juárez san Nicolás Ameca Jal.,Juárez San Nicolás,46680,María Concepcion  Rodríguez Peña, 375 74 4 03 34,,,,,,,,
132,Hospital Regional de Ameca,-104.033948,20.533875,14 de junio 2019,14 de junio 2022,México,Jalisco,"Ameca, Jalisco","Cardenal José Salazar col. El Manantial, Ameca Jalisco.",El Manantial,46640,Angel Agustin Garcia González,(375)75851247580531 ext. 101 y 107,direccion.hrameca@gmail.com,,,,,,,
133,CEDHJ (Comisión Estatal de Derechos Humanos Jalisco),-103.370916,20.675408,07 de marzo 2019,07 de marzo 2022,México,Jalisco,"Guadalajara, Jalisco",Calle Pedro Moreno #1616 C.P. 44150 Guadalajara Jalisco,Americana,44150,Alfonso Hernandez Barrón,(375) 75 8  76 48 ,cedhjcontinuaameca@gmail.com,,,,,,,
134,Secretaria de Administracion del Estado de Jalisco ,-103.348888,20.696346,01 de marzo 2019,01 de marzo 2022,México,Jalisco,"Guadalajara, Jalisco","Av. Fray Antonio Alcalde 1221, Miraflores, 44266 Guadalajara, Jal.",Observatorio,44266,Leslie Hernandez Quintero,333 818 28 00 ,rosalia.herrera@jalisco.gob.mx,,,,,,,
135,DIF Tecolotlán,-104.032348,20.193816,23 de septiembre de 2019,Tiempo Indefinido,México,Jalisco,"Tecolotlán, Jalisco",Av. Guadalajara 140 Tecolotlán,,48540,Lic. Anabel López Lepe,349 77 60 353,tecolotlan@difjalisco.gob.mx,,,,,,,
136,DIF Ahualulco de Mercado ,-103.969958,20.695479,23 de septiembre de 2019,Tiempo Indefinido,México,Jalisco,"Ahualulco de Mercado, Jalisco","Petrita Gódinez, #6 Col. Centro",5 de mayo,46734,Diana Minerva García Flores,386 75 2 01 75,ahualulcodemercado@difjalisco.gob.mx,,,,,,,
137,H. Ayuntamiento de Mascota,-104.788278,20.523856,23-sep-2019,30-sep-22,México,Jalisco,"Mascota, Jalisco","Ayuntamiento 1, Col. Centro 46900",Centro,46900,Dra. Sara Eugenia Castillón Ochoa,01 (388) 38 6 03 25,presidencia.mascota@outlook.com,,,,,,,
138,nH Colection Hoteles,-103.37665,20.70177,23 de septiembre de 2019,Tiempo Indefinido,México,Jalisco,"Guadalajara, Jalisco",Sao Paulo 2334 Col. Providencia C.P.,Providencia,44630,Álvaro Barush Sánchez Gamiño,3336489500,nhcollectionguadalajara@nh-hotels.com,,,,,,,
139,Caja Popular Cristobal Colón,-104.044532,20.547045,01 de octubre de 2019,Tiempo indefinido,México,Jalisco,"Ameca, Jalisco",Constitución 38-A Col. Centro,Centro,46600,Antonio Mora Lizaola,386-753-3128,oscar.quezada@ccolon.org.mx,,,,,,,
140,JOMARJO,-103.829907,20.878996,01 de octubre de 2019,Tiempo indefinido,México,Jalisco,"Tequila, Jalisco",Heráclito 2-A Col. El Rosario C.P. 46403,El Rosario,46403,Jorge Martinez Cano,(374) 742 1788,licorpochteca.paola@hotmail.com,,,,,,,
141,"Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero",-104.047976,20.547493,01 de octubre de 2019,Tiempo indefinido,México,Jalisco,"Ameca, Jalisco",Vallarta #37 Col. Centro C.P. 46600,Centro,46600,Salvador Ramirez Rivera,3757580520,saramirez@fnd.gob.mx,,,,,,,
142,Patronato de Ahualulco A.C,-103.981466,20.702923,23 de septiembre de 2019,Tiempo indefinido,México,Jalisco,"Ahualulco de Mercado, Jalisco",Santos Degollado C.P. 46730,Centro,46730,María de Jesús Gutíerrez de la Torre,4311000026,r.rocio1821@gmail.com,,,,,,,
143,Hotel SR,-103.454541,20.681613,01 de junio de 2019,01 de junio de 2022,México,,,"Pte. Manuel Gómez Morín 7306, Granja, 45010 Zapopan, Jal.",,,,33 1812 1900,recepcion@srhotel.mx,,,,,,,
144,IBM,-103.290876,20.566414,25 de octubre,25 de octubre 2024,México,Jalisco,"Guadalajara, Jalisco","Carretera al Castillo 2200 El Quince, 45680 El Salto",El salto,45680,,,,,,,,,,
145,Vidanta ,-103.402262,20.667098,22 de agosto,22 de agosto 2020,México,Jalisco,"Guadalajara, Jalisco","Plaza la Glorietta, Av Guadalupe 1162, Chapalita, 45040 Guadalajara, Jal.",Chapalita,45040,,624 163 4000,atencionclientes@vidanta.com,,,,,,,
146,SMURFIT KAPPA ,-103.713245,20.638255,,,México,Jalisco,"Tala, Jalisco",,,,,,,,,,,,,
147,JABIL,-103.400945,20.741932,,,México,Jalisco,,av. valdepeñas 1993 Lomas de Zapopan ,,45130,Carlos Eduardo León Fajardo,3318624337,juan_mojarro@jabil.com,,,,,,,
148,H. Ayuntamiento de Atengo,-104.238186,20.275163,12-nov.-18,30-sep-21,México,Jalisco,"Atengo, Jal. ","Hidalgo No. 4, Colonia centro, C.P. 48190 Mun. De Atengo , Jal.",Centro,48190,C. P. Nancy Maldonado Gómez ,3497710214 EXT. 113,atengoadmon1821@gmail.com,,,,,,,
149,H. Ayuntamieto de Etzatlán ,-104.080806,20.76364,12-nov.-18,30-sep-21,México,Jalisco,"Etzatlán, Jal. ","Escobedo No. 320, Colonia Centro, C.P. 46500 ",Centro,46500,Ing. Mario Camarena González Rubio ,3867531246,secretariogeneral@etzatlan.gob.mx,,,,,,,
150,H. Ayuntamiento de Tlajomulco ,-103.441602,20.475198,17-may.-19,30-sep-21,México,Jalisco,"Cabecera Municipal de Tlajomulco de Zuñiga, Jal.","Centro Administrativo Tlajomulco , edificio con el numero 70 de la calle Higuera",Centro,45640,CC. Ing. Salvador Zamora Zamora ,32834400,vinculación.tlajomulco@hotmail.com,,,,,,,
151,H. Ayuntamiento de Magdalena ,-103.96371,20.910757,22-may.-19,30-sep-21,México,Jalisco,"Magdalena, Jal. ","Av. Hidalgo No. 45, Colonia Centro C.P. 46470",Centro,46470,C. Fabiola Pulido Franco ,38674740636,www.magdalenajalisco.gob.mx,,,,,,,
152,H. Ayuntamiento de Tenamaxtlan ,-104.165653,20.21829,28-may.-19,30-sep-21,México,Jalisco,"Tenamaxtlán,  Jal.",Av. De los Maestros #4 ,Centro,,C. Yolanda Meza Zepeda,(349) 7750140/579/583/340,tenamaxtlan1518@hotmail.com,,,,,,,
153,DIF De Guachinango ,-104.378427,20.575053,8-mar.-19,30-sep-21,México,Jalisco,"Guachinango, Jal.","Cuauhutémoc #1, C.P. 46800 ",Centro,46800,Lic. José Saúl Hernández Caro,3751228699,psicarosaul@hotmail.com,,,,,,,
154,H. Ayuntamiento de El Arenal ,-103.695394,20.77663,8-mar.-19,30-sep-21,México,Jalisco,"El Arenal, Jal. ","General Marcelino García Barragan No. 99, colonia centro. C.P. 45350",Centro,45350,Ing. Jorge Abel Hermosillo Pulido ,374) 748 02 66 Fax 748 03 48 - 748 1375,elarenal@jalisco.gob.mx,,,,,,,
155,DIF De Amatitán ,-103.727603,20.832368,1-oct.-18,30-sep-21,México,Jalisco,"Amatitán, Jal. ","Juarez # 23, C.P. 45380 ",Centro,45380,Presidenta Lic. Leticia Hermosillo Ravelero/ Directora C. María Soledad Rivera ,01 374 74 51213,amatitan@difjalisco.gob.mx,,,,,,,
156,H. Ayuntamiento  de San Martín Hidalgo ,-103.929116,20.435736,12-nov.-18,30-sep-21,México,Jalisco,"San Martín de Hidalgo, Jal.","Av. Juarez #12, Colonia Centro, C.P. 46770",Centro,46770,C. Moises Rodríguez Camacho ,3857551763,medina-gutierrezyasoc@hotmail.com,,,,,,,
157,H. Ayuntamiento de San Marcos ,-104.194516,20.790756,12-nov.-18,30-sep-21,México,Jalisco,"San Marcos, Jal. ","Parque Vía No. 198, Colonia Cuauhtémoc, C.P. 06500",Centro,,Arq. David Sánchez Domínguez ,(386) 757-0645,snmarcos@jalisco.gob.mx,,,,,,,
158,H. Ayuntamiento de Tapalpa ,-103.757454,19.944519,1-ene.-18,30-sep-21,México,Jalisco,"Tapalpa, Jal. ","Parque Vía 198, Colonia Cuauhtemoc, C.P. 06500",Centro,,Mtra. Luz Elvira Manzano Ochoa ,(343) 432 0650,gobiernodetapalpa@hotmail.com,,,,,,,
159,H. Ayuntamiento de Amatitán ,-103.72819,20.831334,12-nov.-18,30-sep-21,México,Jalisco,"Amatitán, Jal. ","Zaragoza No. 42, Colonia Centro, C.P. 45380 ",Centro,,Ing. Gildardo Partida Meléndrez ,37450310,presidencia.amatitan1821@gmail.com,,,,,,,
160,DIF de San Martín de Hidalgo ,-103.931369,20.436158,1-oct.-18,30-sep-21,México,Jalisco,"San Martín de Hidalgo, Jal.","Independencia #8, C.P. 46770 ",Independencia,46770,Presidenta C. Ma. Magdalena Aldaz González / directora Lic. Paulina Fregoso Sánchez ,3857550419,dif@sanmartindehidalgo.gob.mx,,,,,,,
161,DIF De Tenamaxtlán ,-104.164073,20.216685,1-oct.-18,30-sep-21,México,Jalisco,"Tenamaxtlán,  Jal.","Calle Revolución Mexicana #13, C.P. 48570",Centro,48570,"Presidenta C. María Asunción Barajas Arechiga/ directora, C. Martha Zitlali Rodríguez Estrella  ",13497750040,tenamaxtlan@difjalisco.gob.mx,,,,,,,
162,DIF de Talpa de Allende ,-104.823621,20.379447,1-oct.-18,30-sep-21,México,Jalisco,"Talpa de Allende, Jal. ","Calle Salvador Martín Uribe Gil #3, C.P. 48200",Centro,48200,Presidenta L.C. Norma Alica Sánchez Guerra / Directora C. Ana Lizeth Peinado Alzate,3850275,diftalpa011012@gmail.com,,,,,,,
163,DIF de Magdalena ,-103.972818,20.911201,1-oct.-18,30-sep-21,México,Jalisco,"Magdalena, Jal. ","Av. Manuel Ávila Camacho #321, C.P. 46470",Centro,46470,Presidenta Lic. Virginia Pulido Franco /Directora C. María del Carmen  López Caro ,13867441639,magdalena@difjalisco.gob.mx,,,,,,,
164,DIF de Ameca ,-104.04756,20.546909,15-feb.-18,30-sep-21,México,Jalisco,"Ameca, Jal. ","Dr. Luis Romero Arias #9, Colonia Centro",Centro,46600,Directora C. Monica Flores Palacios ,13757580618,ameca@difjalisco.gob.mx,,,,,,,
165,DIF De Teuchitlán ,-103.846398,20.683795,01-oct.-18,30-sep-21,México,Jalisco,"Teuchitlán , Jal. ","Vicente Guerrero #23, C.P. 46760 ",Centro,46760,Presidenta C. Imelda Meza Rosales /Directora Lic. Alba María Flores Meza .,13847330264,teuchitlan@difjalisco.gob.mx,,,,,,,
166,H. Ayuntamiento de Tala ,-103.702077,20.649698,01-oct.-18,30-sep-21,México,Jalisco,"Tala, Jal. ","Ramón Corona No. 5, colonia centro, C.P. 45300 ",Centro,45300,Ing. Enrique Gabriel Buenrostro Ahued,(384) 738 2507,secretariaparticular_tala@hotmail.com,,,,,,,
167,DIF De Etzatlán ,-104.084833,20.764791,01-oct.-18,30-sep-21,México,Jalisco,"Etzatlán, Jal. ","Escobedo #135, C.P. 46500",Centro,46500,Presidenta Lic. María Fernanda Covarrubias Lanzagorta /directora C. Iliana Patricia Mariscal Morales ,3310803072,dif@etzatlan.gob.mx,,,,,,,
168,DIF De Atenguillo ,-104.493427,20.415258,01-oct.-18,30-sep-21,México,Jalisco,"Atenguillo, Jal. ","Priv. Independencia #18, C.P. 48100",Centro,48100, Presidenta C. Maria Elena Ruelas Bernal /Directora C. Viridiana Oracel Gradilla Duran ,3312810722,difatenguillo.1821@gmail.com,,,,,,,
169,H. Ayuntamiento de Mixtlán ,-104.408709,20.438899,01-oct.-18,30-sep-21,México,Jalisco,"Mixtlán ,Jal. ","Eliseo Morales No. 21, Colonia Centro , C.P. 46850 ",Centro,46850,C. Maria Magdalena Moreno Ángel ,3887365249 ext. 101,mixtlan2015@hotmail.com,,,,,,,
170,H. Ayuntamiento de Tecolotlán ,-104.050376,20.202381,15-nov.-18,30-sep-21,México,Jalisco,"Tecolotlán, Jal. ","Cristobal de Ovejo No. 37, Colonia Centro, C.P. 48540",Centro,48540,Lic. Ricardo Ramírez Ruelas ,( 349) 776 0915,presidencia@tecolotlan.gob.mx,,,,,,,
171,H. Ayuntamiento de Villa Corona ,-103.6642,20.417527,01-oct.18,30-sep-21,México,Jalisco,"Villa Corona, Jal. ","Venustiano Carranza No. 24, Colonia Centro, C.P. 45730 ",Centro,45730,Lic. Luis Rene Ruelas Ortega ,3877780515/3877780222,educación@villacorona.gob.mx,,,,,,,
172,H. Ayuntamiento de Cocula ,-103.824461,20.35878,15-nov.-18,30-sep-21,México,Jalisco,"Cocula , Jal. ","Portal Obregón No. 30, Colonia Centro , C.P. 48500 ",Centro,48500,C. Miguel de Jesús Esparza Partida ,(377) 773 0000,presidencia@cocula.gob.mx,,,,,,,
173,H. Ayuntamiento de Ahualulco De Mercado ,-103.976485,20.701006,01-oct.-2018,30-sep-21,México,Jalisco,"Ahualulco de Mercado, Jal. ","González Madrid No. 11, colonia centro, C.P. 46730",Centro,46730,Dr. José Manuel Medrano Barba ,(386) 7520158,municipiodeahualulco@hotmail.com,,,,,,,
174,H. Ayuntamiento de Tequila ,-103.839526,20.885022,01-oct.-2018,30-sep-21,México,Jalisco,"Tequila , Jal. ","José Cuervo No. 33, Colonia Centro, C.P. 46400 ",Centro,476400,C. José Alfonso Magallanes Rubio ,3747420012,acastillo@tequilajalisco.gob.mx,,,,,,,
175,H. Ayuntamiento de Teuchitlán ,-103.84743,20.683228,01-oct.-2018,30-sep-21,México,Jalisco,"Teuchitlán , Jal. ","16 de septiembre No. 10 , Colonia Centro, C.P. 46760 ",Centro,,C. José Alejandro Arreola Soto ,7330833 ext. 104,h.ayuntamientoteuchitlan@hotmail.com,,,,,,,
176,H. Ayuntamiento de Atenguillo ,-104.493418,20.415251,01-oct.-2018,30-sep-21,México,Jalisco,"Atenguillo, Jal. ","Javier Mina No. 8, Colonia Centro, C.P. 48100 ",Centro,48100,C. Mayra Isela Guitrón Contreras ,(388) 736 8878 Ext 103,gobiernoatenguillo1821 @gmail.com,,,,,,,
177,H. Ayuntamiento De Acatlán De Juarez ,-103.591479,20.422161,01-oct.-2018,30-sep-21,México,Jalisco,"Acatlán de Juarez , Jal. ","Lopez Cotilla No. 11, Colonia Centro, C.P. 45700",Centro,45700,T.I. Gerardo Uvaldo Ochoa Alvarado ,3877720128,haciendaacatlan@hotmail.com,,,,,,,
178,H. Ayuntamiento de Ameca ,-104.047129,20.547828,01-oct.-2018,30-sep-21,México,Jalisco,"Ameca, Jal. ","Juarez No. 32, Colonia Centro, C.P. 46600 ",Centro,46600,Ing. Juan Valentín Serrano Jímenez ,3757550051 EXT.11,sindicatura@ameca.gob.mx,,,,,,,
179,H. Ayuntamiento de Mascota,-104.787933,20.523736,23-sep-2019,30-sep-22,México,Jalisco,Mascota,"Ayuntamiento 1, Col. Centro 46900",Centro,46900,Dra. Sara Eugenia Castillón Ochoa,01 (388) 38 6 03 25,presidencia.mascota@outlook.com,,,,,,,
