N.Registro;Tipo;Categoría;Nombre;Dirección;C.Postal;Provincia;Municipio;Localidad;Nucleo;Teléfono 1;Teléfono 2;Teléfono 3;Email;web;Q Calidad;Central Reservas;Posada Real;Plazas;GPS.Longitud;GPS.Latitud;accesible a personas con discapacidad
24/000169;Hotel Rural;3ª - 3 Estrellas;LA VELILLA;Calle CAMINO DE LA VELILLA S/n;24887;León;Valderrueda;MATA DE MONTEAGUDO (LA);MATA DE MONTEAGUDO (LA);987716100;;;LAVELILLA@TELEFONICA.NET;WWW.LAVELILLA.ES;;;;11;-4.9922991;42.8091777;Si
49/000040;Posada;5ª - 5 Estrellas;LA CARTERÍA;Calle Rúa 16;49300;Zamora;Puebla de Sanabria;PUEBLA DE SANABRIA;PUEBLA DE SANABRIA;980620312;667675555;;posadareallacarteria@gmail.com;www.lacarteria.com;;;Si;16;-6.38;42.0314;Si
24/000175;Casa Rural de Alquiler;1ª - 1 Estrella;MAGOSTO;Carretera NACIONAL 536. 58;24442;León;Carucedo;CARUCEDO;CARUCEDO;987037481;647008777;;magostocasarural@hotmail.es;www.geo.ya.com/casamagosto;;;;5;-6.7635142;42.4907433;
24/000174;Casa Rural de Alquiler;1ª - 1 Estrella;TURISMO RURAL  B;Calle MAYOR. 9;24227;León;Santa María del Monte de Cea;CASTELLANOS;CASTELLANOS;987337605;687451236;;;;;;;6;-5.1240155;42.4627435;
24/000173;Casa Rural de Alquiler;1ª - 1 Estrella;TURISMO RURAL  A;Calle MAYOR. 9;24227;León;Santa María del Monte de Cea;CASTELLANOS;CASTELLANOS;987337605;687451236;;;;;;;6;-5.1240155;42.4627435;
24/000176;Casa Rural de Alquiler;3ª - 3 Estrellas;CASA FALDIN;Calle BARRIO DE ABAJO;24139;León;Villablino;SOSAS DE LACIANA;SOSAS DE LACIANA;666796682;987480121;;faldina@hotmail.com;www.faldin.com;;;;4;-6.291078;42.945855;
24/000177;Hotel Rural;2ª - 2 Estrellas;CASA COSCOLO;Calle EL RINCON. 1;24700;León;Astorga;CASTRILLO DE LOS POLVAZARES;CASTRILLO DE LOS POLVAZARES;619280540;987691984;;CASACOSCOLO@HOTMAIL.COM;www.casacoscolo.com;;;;11;-6.0604247;42.4560002;
05/000145;Casa Rural de Alquiler;3ª - 3 Estrellas;LOS PORTALONES - LA GRANDE;Calle ANDRINAL 31;5633;Ávila;San Juan de Gredos;NAVACEPEDA DE TORMES;NAVACEPEDA DE TORMES;658856431;658856431;;josemanuelgarci@gmail.com;www.portalonesgredos.com;;;;4;-5.2503663;40.3598249;
05/000146;Casa Rural de Alquiler;3ª - 3 Estrellas;LOS PORTALONES GREDOS;Calle ANDRINAL 31;5633;Ávila;San Juan de Gredos;NAVACEPEDA DE TORMES;NAVACEPEDA DE TORMES;658856431;658856431;;josemanuelgarci@gmail.com;www.portalonesgredos.com;;;;4;-5.2503663;40.3598249;
40/000060;Posada;1ª - 1 Estrella;POSADA DEL MEDIEVO;Plaza  SAN MIGUEL. 4;40544;Segovia;Maderuelo;MADERUELO;MADERUELO;921556107;651015520;;posadadelmedievo@gmail.com;www.posadadelmedievo.com;;;;18;-3.522898;41.4856297;Si
37/000143;Casa Rural de Alquiler;3ª - 3 Estrellas;CASA CARCHENA;Avenida AVD. SIERRA DE FRANCIA.27;37768;Salamanca;Santos (Los);SANTOS (LOS);SANTOS (LOS);923592200;635247478;;casacarchena@hotmail.comhttp://casacarchena.iespana.es;;;;;4;-5.8003433;40.5432865;
37/000144;Hotel Rural;3ª - 3 Estrellas;EL JARDIN DEL CONDE;Finca COTO NUESTRA SEÑORA DEL CARMEN. Ctrª N630. Km 424;37728;Salamanca;Peñacaballera;PEÑACABALLERA;PEÑACABALLERA;923414248;;;;;;;;14;-5.8612928;40.3444114;Si
24/000180;Hotel Rural;2ª - 2 Estrellas;LA CASONA DE BABIA;Carretera PUERTO VENTANA S/N;24144;León;San Emiliano;SAN EMILIANO;SAN EMILIANO;987594014;620406886;;INFO@CASONADEBABIA.COM;WWW.CASONADEBABIA.COM;;;;25;-5.9914481;43.0118085;Si
09/000112;Casa Rural;4ª - 4 Estrellas;EL SOTO;Carretera Palencia 23   B;9340;Burgos;Lerma;LERMA;LERMA;947170565;637455407;;casaelsoto@gmail.com;;;;;11;-3.7607678;42.0318826;
05/000150;Casa Rural de Alquiler;1ª - 1 Estrella;EL PICOZO;Calle PLAZA 85;5630;Ávila;Santiago del Tormes;HORCAJO DE LA RIBERA;HORCAJO DE LA RIBERA;676107103;920346303;;casasdegredos@diputacionavila.es;www.casasgredos.com;;;;5;-5.3664756;40.359107;Si
09/000115;Casa Rural;1ª - 1 Estrella;LA OLMA HUECA;Calle María Salomé. 19;9347;Burgos;Retuerta;RETUERTA;RETUERTA;626777038;;;casarurallaolmahueca@gmail.com;;;;;4;-3.506706;42.0295809;
42/000049;Hotel Rural;4ª - 4 Estrellas;LOS CEREZOS DE YANGUAS;Paseo SAN SEBASTIAN 6;42172;Soria;Yanguas;YANGUAS;YANGUAS;975391536;646049298;;loscerezos@loscerezosdeyanguas.es;www.loscerezosdeyanguas.com;;;;22;-2.338588;42.100226;Si
49/000041;Posada;2ª - 2 Estrellas;LA POSADA DE PEDRAZALES;Barrio Bajo 56;49361;Zamora;Galende;PEDRAZALES;PEDRAZALES;980626840;618634025;;breatrizrvico@gmail.com;www.laposadadepedrazales.com;;;;12;-6.668844;42.116256;Si
24/000185;Casa Rural de Alojamiento Compartido;1ª - 1 Estrella;SOL DE MEDIODIA;Calle CALDEVILLA 2;24996;León;Acebedo;ACEBEDO;ACEBEDO;987742346;696382826;;jesus@soldelmediodia.com;www.soldelmediodia.com;;;;8;-5.1180603;43.0390657;
40/000061;Casa Rural;4ª - 4 Estrellas;LA ESTRELLA POLAR I;Calle CORCHO. 8;40164;Segovia;Arcones;HUERTA;HUERTA;606226208;921440642;;laestrellapolar@hotmail.com;http://www.laestrellapolar.org;;;;4;-3.7298703;41.1339534;Si
40/000062;Casa Rural;4ª - 4 Estrellas;LA ESTRELLA POLAR II;Calle CORCHO . 8;40164;Segovia;Arcones;HUERTA;HUERTA;606226208;921440642;;laestrellapolar@hotmail.com;http://www.laestrellapolar.org;;;;4;-3.7298703;41.1339534;Si
24/000184;Casa Rural de Alquiler;1ª - 1 Estrella;PANDELO;Calle CALLEJA S/N;24520;León;Vega de Valcarce;VEGA DE VALCARCE;VEGA DE VALCARCE;987543033;63618 08 62;;CASARURALPANDELO@HOTMAIL.COM;;;;;4;-6.9454584;42.6640145;Si
40/000064;Casa Rural;4ª - 4 Estrellas;LA CASA DEL ARCIPRESTE;Calle  COTANILLOS. 10;40185;Segovia;Cubillo;CUBILLO;CUBILLO;652816290;921500709;;informacion@lacasadelarcipreste.com;www.lacasadelarcipreste.com;;;;10;-3.9106907;41.122392;
09/000113;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;LA VENTILLA DEL TIRABEQUE;Calle Real 1;9553;Burgos;Villarcayo de Merindad de Castilla la Vieja;VILLACOMPARADA DE RUEDA;VILLACOMPARADA DE RUEDA;947136111;;;;;;;;9;-3.5457906;42.9687877;Si
37/000146;Casa Rural;3ª - 3 Estrellas;EL PALOMAR;Calle GRANITO 25;37760;Salamanca;Linares de Riofrío;LINARES DE RIOFRIO;LINARES DE RIOFRIO;923416269;650124535;;casaelpalomar@yahoo.es;;;;;10;-5.9188688;40.5790815;Si
37/000145;Casa Rural de Alquiler;3ª - 3 Estrellas;LA PICOTA;Plaza MAYOR 15;37619;Salamanca;Herguijuela de la Sierra;HERGUIJUELA DE LA SIERRA;HERGUIJUELA DE LA SIERRA;629945788;;;joseagustinsanchez09@gmail.com;;;;;5;-6.0734698;40.4444906;
05/000151;Casa Rural de Alojamiento Compartido;4ª - 4 Estrellas;MOLINO DE LOS GAMUSINOS;Camino RIBERA DEL RÍO VOLTOYA;5289;Ávila;Tolbaños;TOLBAÑOS;TOLBAÑOS;920227714;673217578;;losgamusinos@losgamusinos.com;www.losgamusinos.com;;;;6;-4.548611;40.75162;
24/000189;Casa Rural de Alquiler;3ª - 3 Estrellas;ALDARON;Carretera SANTANDER 16;24911;León;Boca de Huérgano;BOCA DE HUERGANO;BOCA DE HUERGANO;987744030;620297814;;BOCA@CASARURALALDARON.COM;;;;;8;-4.9256814;42.9729312;Si
24/000186;Hotel Rural;3ª - 3 Estrellas;CASA KIKA;Calle LA ERMITA 4;24717;León;Luyego;LUYEGO DE SOMOZA;LUYEGO DE SOMOZA;987601693;678012424;;casakika@hotmail.com;www.casakika.com;;;;8;-6.2168433;42.3519441;Si
09/000116;Casa Rural;2ª - 2 Estrellas;LA CONEGRA;Calle Hospital 19;9691;Burgos;Castrillo de la Reina;CASTRILLO DE LA REINA;CASTRILLO DE LA REINA;947 391057;;;;www.casarurallaconegra.com;;;;14;-3.2365372;41.9872596;
40/000065;Posada;4ª - 4 Estrellas;POSADA MINGASEDA;Calle  CAMPILLO 12;40161;Segovia;Navafría;NAVAFRIA;NAVAFRIA;921506902;634875882;;reservas@posadamingaseda.es;www.posadamingaseda.com;;;Si;12;-3.8249386;41.0535821;Si
49/000042;Hotel Rural;3ª - 3 Estrellas;LOS ARRIBES;Calle Quebrada 5;49253;Zamora;Moralina;MORALINA;MORALINA;980616077;980616077;;info@lasarribas.com;www.lasarribas.com;;;;34;-6.14;41.490833;Si
05/000153;Casa Rural de Alquiler;2ª - 2 Estrellas;TIO VIVILLO;Calle ERMITA 37;5633;Ávila;San Juan de Gredos;NAVACEPEDA DE TORMES;NAVACEPEDA DE TORMES;658961479;920349224;;;;;;;7;-5.2506386;40.3595235;Si
05/000154;Casa Rural de Alquiler;3ª - 3 Estrellas;LA CASA GRANDE;Calle  DEL CASTILLO 29;5600;Ávila;Barco de Ávila (El);BARCO DE AVILA (EL);BARCO DE AVILA (EL);620521197;;;lacasagrande_turismorural@hotmail.com;www.casasruralesbarco.com;;;;8;-5.5250173;40.3578443;
05/000156;Casa Rural de Alquiler;1ª - 1 Estrella;LAS CHORRERAS;Calle NAVALGUIJO 29;5697;Ávila;Navalonguilla;NAVALGUIJO;NAVALGUIJO;920 343838;654739982;;;;;;;10;-5.521739;40.2595046;
24/000193;Casa Rural de Alquiler;2ª - 2 Estrellas;CASA VALERIA;Calle ISIDRO ESCUDERO;24495;León;Palacios del Sil;SALIENTES;SALIENTES;987428320;609875110;;;;;;;5;-6.4328821;42.8774039;
05/000158;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;CASA LA SOLANILLA;Camino DE AVILA 4;5289;Ávila;San Esteban de los Patos;SAN ESTEBAN DE LOS PATOS;SAN ESTEBAN DE LOS PATOS;920208239;651420376;;casasolanilla@gmail.com;www.casalasolanilla.com;;;;10;-4.5813656;40.7510253;
24/000194;Casa Rural de Alquiler;2ª - 2 Estrellas;ABEDUL;Avenida EMILIANO ALONSO SANCHEZ LOMBAS 50;24855;León;Puebla de Lillo;PUEBLA DE LILLO;PUEBLA DE LILLO;654300300;;;CORREO@SUSARON.NET;WWW.SUSARON.NET;;;;6;-5.2734611;43.0078212;Si
42/000053;Posada;4ª - 4 Estrellas;LA CASONA DE EL ROYO;Calle DEL MEDIO 32;42153;Soria;Royo (El);ROYO (EL);ROYO (EL);975271330;654927527;;casonadeelroyo@inicia.es;www.casonadeelroyo.com;;;;16;-2.6444923;41.9074594;
49/000043;Casa Rural de Alquiler;2ª - 2 Estrellas;VILLA CELIA;Calle San Blas 1;49300;Zamora;Puebla de Sanabria;PUEBLA DE SANABRIA;PUEBLA DE SANABRIA;669568518;;;maytemato@yahoo.es;www.casaruralensanabria.com;;;;8;-6.634496;42.0531763;
24/000195;Casa Rural de Alquiler;3ª - 3 Estrellas;LAS SINGER;Calle  PARROCO JOSE ALVAREZ 6;24210;León;Mansilla de las Mulas;MANSILLA DE LAS MULAS;MANSILLA DE LAS MULAS;987310454;600471597;;reservas@casarurallassinger.es;www.casarurallassinger.es;;;;6;-5.4169931;42.4991441;
09/000118;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;LUCÍA;Calle del Río. 17;9491;Burgos;Vadocondes;VADOCONDES;VADOCONDES;947528149;666329505;;luciamartinrios@hotmail.com;www.casarurallucia.com;;;;6;-3.5717982;41.6411388;
42/000055;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;EL ROBLEDAL II;Calle LA IGLESIA 151;42328;Soria;Castillejo de Robledo;CASTILLEJO DE ROBLEDO;CASTILLEJO DE ROBLEDO;975355005;615293951;;saracornejocuesta@gmail.com;;;;;8;-3.4951771;41.5590845;
34/000105;Casa Rural de Alquiler;3ª - 3 Estrellas;CASA ICO II;Calle REAL 9;34404;Palencia;Santibáñez de Ecla;SANTIBAÑEZ DE ECLA;SANTIBAÑEZ DE ECLA;979133485;627634300;;silvia@estilorural.com;www.estilorural.com;;;;5;-4.3754237;42.7070279;
05/000160;Casa Rural de Alquiler;4ª - 4 Estrellas;CABREJANA ALTA;Calle  CAPITAN PASCUA 7;5514;Ávila;Tórtoles;TORTOLES;TORTOLES;656581427;983611608;;tortolesrural@hotmail.com;www.tortolesrural.es;;;;9;-5.2624238;40.5606439;Si
05/000161;Casa Rural de Alquiler;2ª - 2 Estrellas;EL FIELATO;Calle MAYOR 49;5695;Ávila;Horcajada (La);HORCAJADA (LA);HORCAJADA (LA);920364001;;;ayto.lahorcajada@gmail.com;www.lahorcajada.org;;;;4;-5.4667211;40.4381023;
24/000198;Casa Rural de Alquiler;2ª - 2 Estrellas;FERREIRO;Calle LAS VEGAS s/n;24521;León;Barjas;BARJAS;BARJAS;677598469;677598469;;ma.florluna@terra.com;;;;;5;-6.9777663;42.6111339;
42/000056;Casa Rural de Alquiler;2ª - 2 Estrellas;CASA RURAL DE LUBIA II;Carretera MADRID 3;42290;Soria;Cubo de la Solana;LUBIA;LUBIA;676696839;689653447;;lubiarural@hotmail.com;www.lubiarural.com;;;;10;-2.506977;41.649867;
42/000057;Casa Rural de Alquiler;3ª - 3 Estrellas;CASA RURAL DE LUBIA I;Carretera MADRID 3;42290;Soria;Cubo de la Solana;LUBIA;LUBIA;676696839;689653447;;lubiarural@hotmail.com;www.lubiarural.com;;;;7;-2.506977;41.649978;
37/000150;Casa Rural de Alquiler;3ª - 3 Estrellas;BUENA VISTA;Calle CIUDAD RODRIGO 18;37515;Salamanca;Encina (La);ENCINA (LA);ENCINA (LA);605818434;627034886;;casaruralbuenavista@hotmail.com;www.casaruralbuenavista.com;;;;8;-6.5306752;40.4990829;
05/000162;Casa Rural de Alquiler;3ª - 3 Estrellas;EL TORMAL;Calle CHORRILLO 48;5698;Ávila;Navalonguilla;NAVALONGUILLA;NAVALONGUILLA;660408190;;;;;;;;8;-5.4993997;40.2777673;Si
24/000200;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;LA CATEDRAL DE LA MONTAÑA;Calle JERONIMO RODRIGUEZ CASTAÑON 44;24991;León;Crémenes;LOIS;LOIS;679193004;;;;;;;;6;-5.1185116;42.9035933;Si
37/000153;Casa Rural de Alquiler;4ª - 4 Estrellas;EL MIRADOR DE LAS ARRIBES I;Calle PUERTA DEL SOL.27-bajo;37246;Salamanca;Sobradillo;SOBRADILLO;SOBRADILLO;923522029;696543479;;info@elmiradordelasarribes.com;www.elmiradordelasarribes.com;;;;6;-6.7990261;40.9164575;Si
37/000154;Casa Rural de Alquiler;3ª - 3 Estrellas;MIRADOR DE SANTA MARINA;Calle PUERTA DEL SOL 27   1º;37246;Salamanca;Sobradillo;SOBRADILLO;SOBRADILLO;651438498;;;jalvilloria@yahoo.es;www.miradordesantamarina.com;;;;6;-6.7990261;40.9164575;Si
37/000155;Casa Rural de Alquiler;3ª - 3 Estrellas;CASA LOZANO;Avenida AVDA. PORTUGAL 14;37542;Salamanca;Navasfrías;NAVASFRIAS;NAVASFRIAS;923460312;635400766;;correocasalozano@gmail.com;www.casalozano.net;;;;9;-6.8212645;40.2971606;
37/000156;Casa Rural;3ª - 3 Estrellas;PIEDRA ROMANA;Calle CONSTITUCION 2;37553;Salamanca;Puebla de Azaba;PUEBLA DE AZABA;PUEBLA DE AZABA;923471333;662027535;;lapiedraromana@hotmail.com;;;;;7;-6.7466341;40.4472908;
34/000108;Casa Rural de Alquiler;2ª - 2 Estrellas;LA TILA;Calle  ARRABALES DE LA BARDISQUERA. Nº 1;34887;Palencia;Castrejón de la Peña;ROSCALES DE LA PEÑA;ROSCALES DE LA PEÑA;678860910;;;;;;;;8;-4.667255;42.820242;Si
37/000159;Casa Rural;3ª - 3 Estrellas;CRUZ DEL POSADERO;Calle SAN MARCOS SN;37250;Salamanca;Aldeadávila de la Ribera;ALDEADAVILA DE LA RIBERA;ALDEADAVILA DE LA RIBERA;923169105;610053666;;jmholgado@hotmail.com;www.toprural.com;;;;4;-6.6181303;41.2167968;Si
09/000120;Casa Rural de Alquiler;2ª - 2 Estrellas;LA ANTIGUA OLMA;Calle San Joaquin s/n;9615;Burgos;Riocavado de la Sierra;RIOCAVADO DE LA SIERRA;RIOCAVADO DE LA SIERRA;680981913;615538716;;silviahoyuelos@ono.com;;;;;8;-3.197424;42.152973;
09/000123;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;LA HORNERA;Plaza BURGOS 11;9641;Burgos;Cuevas de San Clemente;CUEVAS DE SAN CLEMENTE;CUEVAS DE SAN CLEMENTE;687826562;;;casarural@lahornera.info;wwwlahornera.info;;;;5;-3.569135;42.130178;
09/000114;Casa Rural de Alquiler;3ª - 3 Estrellas;LA TINA;Carretera MADRID 26;9370;Burgos;Gumiel de Izán;GUMIEL DE IZAN;GUMIEL DE IZAN;947544008;659966676;;casaruralatina@gmail.com;;;;;10;-3.6892796;41.7692309;
47/000032;Casa Rural de Alquiler;4ª - 4 Estrellas;LA HERRERIA;Calle CANTARRANAS. 1;47311;Valladolid;Canalejas de Peñafiel;CANALEJAS DE PEÑAFIEL;CANALEJAS DE PEÑAFIEL;650739767;983892039;;info@casalaherreria.com;www.casalaherreria.com;;;;9;-4.115867;41.52607;
47/000033;Casa Rural;3ª - 3 Estrellas;LA HONTANILLA;Calle DERECHA 17;47311;Valladolid;Canalejas de Peñafiel;CANALEJAS DE PEÑAFIEL;CANALEJAS DE PEÑAFIEL;983892082;;;gervafuente@gmail.com;www.lahontanilla.net;;;;10;-4.116298;41.526765;Si
09/000124;Casa Rural de Alquiler;3ª - 3 Estrellas;FUENCALIENTE;Carretera Renedo s/n;9127;Burgos;Valle de Valdelucio;FUENCALIENTE DE LUCIO;FUENCALIENTE DE LUCIO;979125144;676921227;;;;;;;10;-4.1493242;42.7411918;
37/000161;Casa Rural de Alquiler;3ª - 3 Estrellas;EL CORRAL DE LAS ARRIBES I;Calle ROQUE AMADOR 8;37270;Salamanca;San Felices de los Gallegos;SAN FELICES DE LOS GALLEGOS;SAN FELICES DE LOS GALLEGOS;923521525;666564018;;elcorraldelasarribes@gmail.com;www.arribes.net/elcorraldelasarribes;;;;10;-6.7077891;40.8507336;
42/000058;Casa Rural de Alquiler;3ª - 3 Estrellas;EL CASILLO I;Calle REAL 82;42146;Soria;Abejar;ABEJAR;ABEJAR;975373330;;;info@elcasillo.com;www.elcasillo.com;;;;5;-2.7862196;41.8069179;
34/000112;Casa Rural de Alquiler;4ª - 4 Estrellas;CASA VIELBA;Calle  REAL s/n;34829;Palencia;Barruelo de Santullán;CILLAMAYOR;CILLAMAYOR;979181182;650362575;;;;;;;8;-4.2788033;42.8611614;
47/000034;Casa Rural;4ª - 4 Estrellas;LA ALMUERZA;Calle REAL DE ABAJO. 9;47313;Valladolid;Torrescárcela;TORRESCARCELA;TORRESCARCELA;983394721;652317035;;la_almuerza@hotmail.com;www.la-almuerza-casarural.es;;;;6;-4.3189143;41.4854239;
47/000035;Casa Rural de Alquiler;4ª - 4 Estrellas;CASA DEL ARRIERO;Calle C/ LA ESCUELA. 13;47830;Valladolid;Tordehumos;TORDEHUMOS;TORDEHUMOS;983714293;649204239;;casarural.arriero@yahoo.es;;;;;7;-5.157915;41.8153308;Si
47/000036;Casa Rural;3ª - 3 Estrellas;EL COBIJO DE LA REINA;Avenida JOSE ANTONIO. 8;47816;Valladolid;Valdenebro de los Valles;VALDENEBRO DE LOS VALLES;VALDENEBRO DE LOS VALLES;983722342;;;elcobijodelareina@gmail.com;;;;;8;-4.9694473;41.8555407;
37/000164;Casa Rural de Alquiler;3ª - 3 Estrellas;ADELAIDA;Calle OBISPO MARIJUAN 12;37658;Salamanca;Villanueva del Conde;VILLANUEVA DEL CONDE;VILLANUEVA DEL CONDE;600515858;;;sambeles@yahoo.es;www.casaruraladelaida.com;;;;6;-6.011897;40.510346;
47/000037;Casa Rural de Alojamiento Compartido;1ª - 1 Estrella;DOS HERMANAS;Calle C/ ARRABAL. 16;47500;Valladolid;Nava del Rey;NAVA DEL REY;NAVA DEL REY;983850335;;;;;;;;7;-5.0783113;41.3281232;
42/000061;Casa Rural;4ª - 4 Estrellas;MIRADOR DEL RAZÓN;Calle REAL 14;42166;Soria;Sotillo del Rincón;ALDEHUELA DEL RINCON;ALDEHUELA DEL RINCON;686600230;;;laurasoria2006@hotmail.com;www.casamiradordelrazon.com;;;;14;-2.5857964;41.9246479;
05/000173;Casa Rural de Alquiler;3ª - 3 Estrellas;LA LADERA;Calle LADERA 7;5634;Ávila;Hoyos del Espino;HOYOS DEL ESPINO;HOYOS DEL ESPINO;920349010;;;roberto.re@hotmail.com;;;;;6;-5.1739331;40.3553376;Si
09/000126;Casa Rural;3ª - 3 Estrellas;EL ARTESANO;Calle El Calvario 18;9460;Burgos;Milagros;MILAGROS;MILAGROS;947548079;629937422;;reservas@casaelartesano.com;www.casaelartesano.com;;;;10;-3.6979139;41.574651;
09/000128;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;LA SERNA;Calle La Somera. 18;9574;Burgos;Merindad de Valdeporres;PEDROSA;PEDROSA;947138189;;;;;;;;10;-3.741115;42.9972046;
42/000062;Posada;4ª - 4 Estrellas;LA CASA DEL CURA DE CALATAÑAZOR;Calle REAL 25;42145;Soria;Calatañazor;CALATAÑAZOR;CALATAÑAZOR;975183631;;;;www.posadacasadelcura.com;;;;12;-2.6731577;41.813393;
09/000129;Casa Rural;3ª - 3 Estrellas;CHANIN I;Calle San Isidro 16;9612;Burgos;Pinilla de los Barruecos;PINILLA DE LOS BARRUECOS;PINILLA DE LOS BARRUECOS;616987518;947487604;685368724;casachanin@yahoo.es;www.casachanin.com;;;;9;-3.3036448;41.9190133;
09/000130;Casa Rural;3ª - 3 Estrellas;CHANIN II;Calle San Isidro 18;9612;Burgos;Pinilla de los Barruecos;PINILLA DE LOS BARRUECOS;PINILLA DE LOS BARRUECOS;616987518;947487604;685368724;casachanin@yahoo.es;www.casachanin.com;;;;9;-3.3036448;41.9190133;
24/000204;Casa Rural de Alquiler;4ª - 4 Estrellas;EL BARREIRO;Calle LA CARRERA s/n;24478;León;Páramo del Sil;SORBEDA DEL SIL;SORBEDA DEL SIL;626601488;;;reservas@elbarreiro.com;www.elbarreiro.com;;;;6;-6.5134676;42.8120275;
09/000132;Casa Rural;3ª - 3 Estrellas;COVA RACINO;Calle Barrio Menor 39;9568;Burgos;Merindad de Sotoscueva;VILLAMARTIN DE SOTOSCUEVA;VILLAMARTIN DE SOTOSCUEVA;636274907;;;ruedavilla@yahoo.es;;;;;9;-3.6277092;43.0246248;
24/000205;Casa Rural de Alquiler;1ª - 1 Estrella;SIETE CAÑOS;Calle CASCAJERA 11;24344;León;Villaselán;SANTA MARIA DEL RIO;SANTA MARIA DEL RIO;987225203;677624547;;;;;;;6;-5.0497493;42.5274865;
24/000207;Hotel Rural;3ª - 3 Estrellas;AMBASMESTAS;Carretera ANTIGUA  NACIONAL VI 29;24524;León;Vega de Valcarce;AMBASMESTAS;AMBASMESTAS;649465345;987543247;;info@ctrambasmestas.com;www.ctrambasmestas.com;;;;44;-6.94368;42.6641885;
40/000072;Casa Rural;2ª - 2 Estrellas;LA CASA DEL CURILLA;Plaza PLACILLA 3;40237;Segovia;Sacramenia;SACRAMENIA;SACRAMENIA;921527302;650460946;;lacasadelcurilla@hotmail.com;;;;;4;-3.9644838;41.4937909;Si
40/000071;Casa Rural;4ª - 4 Estrellas;LA TARJA;Calle CORPUS 22;40130;Segovia;Martín Miguel;MARTIN MIGUEL;MARTIN MIGUEL;921490175;629069291;;  turismorurallatarja@gmail.com;www.latarja.es;;;;8;-4.2733853;40.950635;Si
40/000073;Casa Rural;4ª - 4 Estrellas;BALCON DE NUT 1;Camino  DE TENZUELA. S/N;40192;Segovia;Torreiglesias;LOSANA DE PIRON;LOSANA DE PIRON;696462994;;;info@elbalcondenut.com;www.elbalcondenut.com;;;;4;-4.0224462;41.0684601;Si
24/000208;Casa Rural de Alojamiento Compartido;3ª - 3 Estrellas;EL HONTANAR;Calle ANTONIO PEREZ CRESPO s/n;24722;León;Santa Colomba de Somoza;SANTA COLOMBA DE SOMOZA;SANTA COLOMBA DE SOMOZA;649436839;987631022;;;;;;;5;-6.245917;42.445062;Si
09/000131;Casa Rural de Alojamiento Compartido;4ª - 4 Estrellas;EL CAJIGAL DE QUINTANA;Calle El Cajigal. s/n;9569;Burgos;Espinosa de los Monteros;QUINTANA DE LOS PRADOS;QUINTANA DE LOS PRADOS;947120135;672434891;;elcajigal@elcajigal.com;www.elcajigal.com;;;;10;-3.5476617;43.0794701;
09/000134;Casa Rural;4ª - 4 Estrellas;EL CAMPILLO;Calle San Pantaleón s/n;9553;Burgos;Villarcayo de Merindad de Castilla la Vieja;FRESNEDO;FRESNEDO;947573083;;;campillofresnedo@hotmail.com;;;;;12;-3.542221;42.988558;
09/000135;Casa Rural;3ª - 3 Estrellas;LA CANALEJA;Calle San Lorenzo 33;9556;Burgos;Villarcayo de Merindad de Castilla la Vieja;CIGUENZA;CIGUENZA;947131087;;;agusvete@hotmail.com;www.lacanaleja.com;;;;10;-3.6002158;42.9415108;
37/000166;Casa Rural de Alquiler;3ª - 3 Estrellas;CALZADA ROMANA;Calle VIA DE LA PLATA.34;37714;Salamanca;Calzada de Béjar (La);CALZADA DE BEJAR (LA);CALZADA DE BEJAR (LA);923403228;;;calzadaromana@gmail.com;www.calzadaromana.com;;;;10;-5.8155553;40.4116156;Si
34/000114;Casa Rural de Alquiler;3ª - 3 Estrellas;LA BODEGA;Plaza PLAZA s/n;34839;Palencia;San Cebrián de Mudá;SAN CEBRIAN DE MUDA;SAN CEBRIAN DE MUDA;606031271;942370173;;crlabodega@hotmail.com;http://www.casasruralesmontanapalentina.com;;;;6;-4.3871866;42.8938002;
09/000136;Casa Rural de Alquiler;2ª - 2 Estrellas;LA CASA DE LA ABUELA;Calle LA CAVA 27;9410;Burgos;Peñaranda de Duero;PEÑARANDA DE DUERO;PEÑARANDA DE DUERO;609056262;;;;;;;;6;-3.4782526;41.6885695;
47/000038;Posada;2ª - 2 Estrellas;LA CASA DEL PRADILLO;Calle IMPERIAL (C/V PLAZA GENERAL FRANCO) 1;47319;Valladolid;Rábano;RABANO;RABANO;680745125;983335133;;;;;;;12;-4.0618611;41.5323692;Si
34/000115;Casa Rural de Alquiler;4ª - 4 Estrellas;CASA SIMO;Calle  PISA PAJARES 9;34300;Palencia;Paredes de Nava;PAREDES DE NAVA;PAREDES DE NAVA;979830274;666222635;;info@casasimo.com;www.casasimo.com;;;;6;-4.6920625;42.1523397;
34/000116;Casa Rural de Alquiler;3ª - 3 Estrellas;LAS CALZADAS;Avenida  VALLADOLID 5;34210;Palencia;Dueñas;DUEÑAS;DUEÑAS;620925520;979780977;;casarurallascalzadas@hotmail.com;;;;;8;-4.5464937;41.8652668;
